;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;05:3,01 a 4,00;0;1;103;389;1.253;1.034;1.146;224;0;4.150;0;0;139;447;1.529;1.295;1.378;295;0;5.083;0;0;0;0;0;0;0;0;0;1;242;836;2.782;2.329;2.524;519;0;9.233
;06:4,01 a 5,00;0;0;54;367;1.145;639;1.018;418;0;3.641;0;0;48;261;938;866;885;322;0;3.320;0;0;0;0;0;0;0;0;0;0;102;628;2.083;1.505;1.903;740;0;6.961
;07:5,01 a 7,00;0;0;37;205;1.818;1.867;990;174;0;5.091;0;0;41;259;2.044;2.856;1.537;191;0;6.928;0;0;0;0;0;0;0;0;0;0;78;464;3.862;4.723;2.527;365;0;12.019
;08:7,01 a 10,00;0;0;41;126;780;1.376;1.310;180;0;3.813;0;0;37;73;603;1.555;1.756;223;0;4.247;0;0;0;0;0;0;0;0;0;0;78;199;1.383;2.931;3.066;403;0;8.060
;09:10,01 a 15,00;0;0;41;90;520;773;835;160;0;2.419;0;0;14;53;289;546;1.089;175;0;2.166;0;0;0;0;0;0;0;0;0;0;55;143;809;1.319;1.924;335;0;4.585
;10:15,01 a 20,00;0;0;16;42;174;290;500;84;0;1.106;0;0;7;27;85;155;275;39;0;588;0;0;0;0;0;0;0;0;0;0;23;69;259;445;775;123;0;1.694
;11:Mais de 20,00;0;0;11;70;277;388;449;112;0;1.307;0;0;3;29;166;167;224;49;0;638;0;0;0;0;0;0;0;0;0;0;14;99;443;555;673;161;0;1.945
;{ñ class};0;1;367;560;1.091;748;621;76;0;3.464;1;2;242;391;862;675;410;23;0;2.606;0;0;0;0;0;0;0;0;1;3;609;951;1.953;1.423;1.031;99;0;6.070
172100:Palmas - TO;Total;16;579;9.391;9.968;20.396;17.990;11.756;1.410;0;71.506;6;473;8.722;9.652;21.732;22.198;12.984;625;0;76.392;0;0;0;0;0;0;0;0;22;1.052;18.113;19.620;42.128;40.188;24.740;2.035;0;147.898
;00:Até 0,50;14;278;256;34;51;24;13;0;0;670;5;265;327;54;76;77;25;0;0;829;0;0;0;0;0;0;0;0;19;543;583;88;127;101;38;0;0;1.499
;01:0,51 a 1,00;1;175;1.438;773;1.153;1.073;1.173;169;0;5.955;1;135;1.525;879;2.083;2.253;1.594;52;0;8.522;0;0;0;0;0;0;0;0;2;310;2.963;1.652;3.236;3.326;2.767;221;0;14.477
;02:1,01 a 1,50;0;113;4.868;3.513;4.065;2.321;1.369;158;0;16.407;0;51;4.565;3.637;5.694;3.913;1.715;94;0;19.669;0;0;0;0;0;0;0;0;0;164;9.433;7.150;9.759;6.234;3.084;252;0;36.076
;03:1,51 a 2,00;0;1;1.274;1.741;2.999;2.052;1.067;106;0;9.240;0;3;940;1.260;2.347;1.786;811;39;0;7.186;0;0;0;0;0;0;0;0;0;4;2.214;3.001;5.346;3.838;1.878;145;0;16.426
